date,acc_name_ch,nav_adj,acc_code
06/01/2014,富国天惠,4.89765,161005.OF
07/01/2014,富国天惠,4.944584,161005.OF
08/01/2014,富国天惠,4.963034,161005.OF
09/01/2014,富国天惠,4.909302,161005.OF
10/01/2014,富国天惠,4.853305,161005.OF
13/01/2014,富国天惠,4.839387,161005.OF
14/01/2014,富国天惠,4.908655,161005.OF
15/01/2014,富国天惠,4.936815,161005.OF
16/01/2014,富国天惠,4.9161,161005.OF
17/01/2014,富国天惠,4.843271,161005.OF
20/01/2014,富国天惠,4.77293,161005.OF
21/01/2014,富国天惠,4.831192,161005.OF
22/01/2014,富国天惠,4.972941,161005.OF
23/01/2014,富国天惠,4.992836,161005.OF
24/01/2014,富国天惠,5.056783,161005.OF
27/01/2014,富国天惠,4.989994,161005.OF
28/01/2014,富国天惠,4.980402,161005.OF
29/01/2014,富国天惠,5.040441,161005.OF
30/01/2014,富国天惠,5.008112,161005.OF
07/02/2014,富国天惠,5.045059,161005.OF
10/02/2014,富国天惠,5.159809,161005.OF
11/02/2014,富国天惠,5.169756,161005.OF
12/02/2014,富国天惠,5.217716,161005.OF
13/02/2014,富国天惠,5.142046,161005.OF
14/02/2014,富国天惠,5.228374,161005.OF
17/02/2014,富国天惠,5.283439,161005.OF
18/02/2014,富国天惠,5.218782,161005.OF
19/02/2014,富国天惠,5.238321,161005.OF
20/02/2014,富国天惠,5.209545,161005.OF
21/02/2014,富国天惠,5.156611,161005.OF
24/02/2014,富国天惠,5.07277,161005.OF
25/02/2014,富国天惠,4.922139,161005.OF
26/02/2014,富国天惠,4.965836,161005.OF
27/02/2014,富国天惠,4.872758,161005.OF
28/02/2014,富国天惠,4.948784,161005.OF
03/03/2014,富国天惠,4.99177,161005.OF
04/03/2014,富国天惠,4.99781,161005.OF
05/03/2014,富国天惠,4.958376,161005.OF
06/03/2014,富国天惠,4.97081,161005.OF
07/03/2014,富国天惠,4.953757,161005.OF
10/03/2014,富国天惠,4.822666,161005.OF
11/03/2014,富国天惠,4.832258,161005.OF
12/03/2014,富国天惠,4.856416,161005.OF
13/03/2014,富国天惠,4.932797,161005.OF
14/03/2014,富国天惠,4.9026,161005.OF
17/03/2014,富国天惠,4.961218,161005.OF
18/03/2014,富国天惠,4.979336,161005.OF
19/03/2014,富国天惠,4.925692,161005.OF
20/03/2014,富国天惠,4.8486,161005.OF
21/03/2014,富国天惠,4.950915,161005.OF
24/03/2014,富国天惠,4.969034,161005.OF
25/03/2014,富国天惠,4.932442,161005.OF
26/03/2014,富国天惠,4.959086,161005.OF
27/03/2014,富国天惠,4.873468,161005.OF
28/03/2014,富国天惠,4.827995,161005.OF
31/03/2014,富国天惠,4.830127,161005.OF
01/04/2014,富国天惠,4.90331,161005.OF
02/04/2014,富国天惠,4.898337,161005.OF
03/04/2014,富国天惠,4.877376,161005.OF
04/04/2014,富国天惠,4.92356,161005.OF
08/04/2014,富国天惠,4.97081,161005.OF
09/04/2014,富国天惠,4.973652,161005.OF
10/04/2014,富国天惠,4.979691,161005.OF
11/04/2014,富国天惠,4.968678,161005.OF
14/04/2014,富国天惠,4.968678,161005.OF
15/04/2014,富国天惠,4.907218,161005.OF
16/04/2014,富国天惠,4.91681,161005.OF
17/04/2014,富国天惠,4.894429,161005.OF
18/04/2014,富国天惠,4.888745,161005.OF
21/04/2014,富国天惠,4.826574,161005.OF
22/04/2014,富国天惠,4.812364,161005.OF
23/04/2014,富国天惠,4.812719,161005.OF
24/04/2014,富国天惠,4.792824,161005.OF
25/04/2014,富国天惠,4.720706,161005.OF
28/04/2014,富国天惠,4.638996,161005.OF
29/04/2014,富国天惠,4.689443,161005.OF
30/04/2014,富国天惠,4.713956,161005.OF
05/05/2014,富国天惠,4.708983,161005.OF
06/05/2014,富国天惠,4.735627,161005.OF
07/05/2014,富国天惠,4.689799,161005.OF
08/05/2014,富国天惠,4.673812,161005.OF
09/05/2014,富国天惠,4.639352,161005.OF
12/05/2014,富国天惠,4.691575,161005.OF
13/05/2014,富国天惠,4.693706,161005.OF
14/05/2014,富国天惠,4.716798,161005.OF
15/05/2014,富国天惠,4.660312,161005.OF
16/05/2014,富国天惠,4.646457,161005.OF
19/05/2014,富国天惠,4.607733,161005.OF
20/05/2014,富国天惠,4.610575,161005.OF
21/05/2014,富国天惠,4.654272,161005.OF
22/05/2014,富国天惠,4.675943,161005.OF
23/05/2014,富国天惠,4.739535,161005.OF
26/05/2014,富国天惠,4.75268,161005.OF
27/05/2014,富国天惠,4.739535,161005.OF
28/05/2014,富国天惠,4.797087,161005.OF
29/05/2014,富国天惠,4.765114,161005.OF
30/05/2014,富国天惠,4.77293,161005.OF
03/06/2014,富国天惠,4.765114,161005.OF
04/06/2014,富国天惠,4.712535,161005.OF
05/06/2014,富国天惠,4.764403,161005.OF
06/06/2014,富国天惠,4.753746,161005.OF
09/06/2014,富国天惠,4.751969,161005.OF
10/06/2014,富国天惠,4.806324,161005.OF
11/06/2014,富国天惠,4.832969,161005.OF
12/06/2014,富国天惠,4.818758,161005.OF
13/06/2014,富国天惠,4.872758,161005.OF
16/06/2014,富国天惠,4.868495,161005.OF
17/06/2014,富国天惠,4.824798,161005.OF
18/06/2014,富国天惠,4.781101,161005.OF
19/06/2014,富国天惠,4.714312,161005.OF
20/06/2014,富国天惠,4.740601,161005.OF
23/06/2014,富国天惠,4.777903,161005.OF
24/06/2014,富国天惠,4.804193,161005.OF
25/06/2014,富国天惠,4.778259,161005.OF
26/06/2014,富国天惠,4.812719,161005.OF
27/06/2014,富国天惠,4.824798,161005.OF
30/06/2014,富国天惠,4.856416,161005.OF
01/07/2014,富国天惠,4.8621,161005.OF
02/07/2014,富国天惠,4.871692,161005.OF
03/07/2014,富国天惠,4.924271,161005.OF
04/07/2014,富国天惠,4.929244,161005.OF
07/07/2014,富国天惠,4.914323,161005.OF
08/07/2014,富国天惠,4.943455,161005.OF
09/07/2014,富国天惠,4.863876,161005.OF
10/07/2014,富国天惠,4.842561,161005.OF
11/07/2014,富国天惠,4.876666,161005.OF
